Time(s),Altitude(ft)
0.0,0.3
0.05,7.0
0.1,5.7
0.15,4.1
0.2,17.1
0.25,13.9
0.3,19.0
0.35,25.8
0.4,30.8
0.45,45.1
0.5,48.5
0.55,55.7
0.6,70.0
0.65,79.8
0.7,89.3
0.75,102.6
0.8,112.8
0.85,133.6
0.9,142.8
0.95,155.7
1.0,178.0
1.05,189.3
1.1,203.5
1.15,226.0
1.2,240.2
1.25,262.8
1.3,281.6
1.35,302.3
1.4,328.0
1.45,349.6
1.5,376.5
1.55,396.1
1.6,413.5
1.65,435.9
1.7,459.6
1.75,481.8
1.8,498.3
1.85,525.8
1.9,547.4
1.95,567.5
2.0,591.8
2.05,604.7
2.1,624.3
2.15,644.6
2.2,665.6
2.25,688.9
2.3,710.2
2.35,726.8
2.4,746.2
2.45,766.5
2.5,782.4
2.55,806.3
2.6,821.5
2.65,841.9
2.7,860.7
2.75,876.6
2.8,895.9
2.85,913.3
2.9,925.5
2.95,949.5
3.0,963.1
3.05,977.3
3.1,996.8
3.15,1017.3
3.2,1031.9
3.25,1043.6
3.3,1057.9
3.35,1079.7
3.4,1092.7
3.45,1113.2
3.5,1131.1
3.55,1143.0
3.6,1156.3
3.65,1169.0
3.7,1186.0
3.75,1205.2
3.8,1219.9
3.85,1233.4
3.9,1239.7
3.95,1255.3
4.0,1271.6
4.05,1290.4
4.1,1303.4
4.15,1321.1
4.2,1329.5
4.25,1347.5
4.3,1357.2
4.35,1372.9
4.4,1385.1
4.45,1395.9
4.5,1404.4
4.55,1425.4
4.6,1430.8
4.65,1446.3
4.7,1460.1
4.75,1466.7
4.8,1484.4
4.85,1500.5
4.9,1512.0
4.95,1525.1
5.0,1532.8
5.05,1541.5
5.1,1554.9
5.15,1566.8
5.2,1576.4
5.25,1585.5
5.3,1602.3
5.35,1611.0
5.4,1622.2
5.45,1632.4
5.5,1644.3
5.55,1653.2
5.6,1665.5
5.65,1674.9
5.7,1682.0
5.75,1692.4
5.8,1699.8
5.85,1710.5
5.9,1722.3
5.95,1730.8
6.0,1749.5
6.05,1749.5
6.1,1760.6
6.15,1768.3
6.2,1784.9
6.25,1788.6
6.3,1797.3
6.35,1806.4
6.4,1814.1
6.45,1823.4
6.5,1832.6
6.55,1837.0
6.6,1845.3
6.65,1852.2
6.7,1866.0
6.75,1873.8
6.8,1877.7
6.85,1883.7
6.9,1898.3
6.95,1901.1
7.0,1905.9
7.05,1920.3
7.1,1925.0
7.15,1930.9
7.2,1942.0
7.25,1948.0
7.3,1950.7
7.35,1955.6
7.4,1968.3
7.45,1974.0
7.5,1976.7
7.55,1983.0
7.6,1992.0
7.65,2000.6
7.7,2001.2
7.75,2009.1
7.8,2018.0
7.85,2017.5
7.9,2028.0
7.95,2030.2
8.0,2038.0
8.05,2041.3
8.1,2053.4
8.15,2053.9
8.2,2064.3
8.25,2066.0
8.3,2068.5
8.35,2074.8
8.4,2081.4
8.45,2082.4
8.5,2091.8
8.55,2094.9
8.6,2096.1
8.65,2104.7
8.7,2103.9
8.75,2109.5
8.8,2112.2
8.85,2116.5
8.9,2126.4
8.95,2129.1
9.0,2134.6
9.05,2133.8
9.1,2138.0
9.15,2145.3
9.2,2146.8
9.25,2148.6
9.3,2156.2
9.35,2153.9
9.4,2155.6
9.45,2164.3
9.5,2162.5
9.55,2173.3
9.6,2170.2
9.65,2174.9
9.7,2174.4
9.75,2176.3
9.8,2183.5
9.85,2182.6
9.9,2189.9
9.95,2195.3
10.0,2197.2
10.05,2195.5
10.1,2193.5
10.15,2201.0
10.2,2202.4
10.25,2204.7
10.3,2205.6
10.35,2203.1
10.4,2207.2
10.45,2205.6
10.5,2211.6
10.55,2210.4
10.6,2214.3
10.65,2216.9
10.7,2215.5
10.75,2215.1
10.8,2211.8
10.85,2220.7
10.9,2217.1
10.95,2213.6
11.0,2219.6
11.05,2219.6
11.1,2219.0
11.15,2222.6
11.2,2223.5
11.25,2220.5
11.3,2219.3
11.35,2222.1
11.4,2218.1
11.45,2216.0
11.5,2224.0
11.55,2216.0
11.6,2224.4
11.65,2215.5
11.7,2217.2
11.75,2219.9
11.8,2220.3
11.85,2216.7
11.9,2210.8
11.95,2218.9
12.0,2215.3
12.05,2214.3
12.1,2214.2
12.15,2207.4
12.2,2212.2
12.25,2207.8
12.3,2211.0
12.35,2207.9
12.4,2205.0
12.45,2208.2
12.5,2202.1
12.55,2204.9
12.6,2202.2
12.65,2199.9
12.7,2201.4
12.75,2199.6
12.8,2195.8
12.85,2198.7
12.9,2198.7
12.95,2184.7
13.0,2192.7
13.05,2189.9
13.1,2185.6
13.15,2183.1
13.2,2189.2
13.25,2181.1
13.3,2187.0
13.35,2182.8
13.4,2180.4
13.45,2178.1
13.5,2180.8
13.55,2176.8
13.6,2176.5
13.65,2173.3
13.7,2172.6
13.75,2172.4
13.8,2170.9
13.85,2164.0
13.9,2172.0
13.95,2168.5
14.0,2166.4
14.05,2165.5
14.1,2161.1
14.15,2166.1
14.2,2157.6
14.25,2158.1
14.3,2157.4
14.35,2157.8
14.4,2155.6
14.45,2153.8
14.5,2154.3
14.55,2151.1
14.6,2143.8
14.65,2150.3
14.7,2143.9
14.75,2147.3
14.8,2141.7
14.85,2146.1
14.9,2139.5
14.95,2136.9
15.0,2138.3
15.05,2135.3
15.1,2134.0
15.15,2129.4
15.2,2130.6
15.25,2129.9
15.3,2126.4
15.35,2130.8
15.4,2125.8
15.45,2125.1
15.5,2118.2
15.55,2123.7
15.6,2123.0
15.65,2117.4
15.7,2117.1
15.75,2115.3
15.8,2120.3
15.85,2114.2
15.9,2108.9
15.95,2112.8
16.0,2108.9
16.05,2111.3
16.1,2106.8
16.15,2102.6
16.2,2103.7
16.25,2108.0
16.3,2104.8
16.35,2095.6
16.4,2098.9
16.45,2099.3
16.5,2096.3
16.55,2095.4
16.6,2095.9
16.65,2088.5
16.7,2099.5
16.75,2088.7
16.8,2090.0
16.85,2082.5
16.9,2083.6
16.95,2088.7
17.0,2086.8
17.05,2086.0
17.1,2078.3
17.15,2078.8
17.2,2083.0
17.25,2073.5
17.3,2076.0
17.35,2073.5
17.4,2073.7
17.45,2072.3
17.5,2071.8
17.55,2068.9
17.6,2061.5
17.65,2068.0
17.7,2066.2
17.75,2062.1
